Time_hr,Free_Valsartan_nM,AngII_ATR1_Complex_nM
0,0,0
1.12630072584534e-11,4.18163291436735e-08,3.26954723192459e-15
2.25260145169068e-11,8.24475235557976e-08,6.53909446372416e-15
3.37890217753602e-11,1.21903983223263e-07,9.80864169539605e-15
1.00761928415494e-10,3.3593089916277e-07,2.92502594134107e-14
1.67734835055629e-10,5.16369107543443e-07,4.86918771269676e-14
2.34707741695763e-10,6.68197628894406e-07,6.81334948360149e-14
3.01680648335897e-10,7.96153670669239e-07,8.75751125405345e-14
4.23261307865026e-10,9.7935576935021e-07,1.22868857737446e-13
5.44841967394154e-10,1.11593183299154e-06,1.58162602919419e-13
6.66422626923282e-10,1.21999412132853e-06,1.93456348086456e-13
7.8800328645241e-10,1.30100288005872e-06,2.2875009323856e-13
9.09583945981539e-10,1.36543549764603e-06,2.64043838375732e-13
1.04698449244325e-09,1.42401067425808e-06,3.03929950896621e-13
1.18438503890496e-09,1.47218754425756e-06,3.43816063398437e-13
1.32178558536667e-09,1.51331386467199e-06,3.83702175881181e-13
1.45918613182839e-09,1.54962748801635e-06,4.23588288344854e-13
1.5965866782901e-09,1.58264049734154e-06,4.63474400789454e-13
1.81767756818635e-09,1.63117443856049e-06,5.27655048657803e-13
2.03876845808261e-09,1.67658039081654e-06,5.91835696476772e-13
2.25985934797886e-09,1.72036354667927e-06,6.56016344246359e-13
2.48095023787512e-09,1.76322497242434e-06,7.20196991966565e-13
2.70204112777137e-09,1.80553770920545e-06,7.8437763963739e-13
3.13592764335731e-09,1.88773273811851e-06,9.10330896088947e-13
3.56981415894324e-09,1.96963936782953e-06,1.03628415235032e-12
4.00370067452918e-09,2.0515151898129e-06,1.16223740842151e-12
4.43758719011511e-09,2.13334065328649e-06,1.28819066430252e-12
4.87147370570105e-09,2.21511200295778e-06,1.41414391999335e-12
8.77290803305649e-09,2.95037072147065e-06,2.54669433130045e-12
1.26743423604119e-08,3.68552874598778e-06,3.67924472723067e-12
1.65757766877674e-08,4.42076475897327e-06,4.81179510778402e-12
2.04772110151228e-08,5.15599830463692e-06,5.94434547296048e-12
5.94915542886772e-08,1.25082539723152e-05,1.72698477622167e-11
9.85058975622316e-08,1.98605095447713e-05,2.85953485411334e-11
1.37520240835786e-07,2.72127648117567e-05,3.99208477866315e-11
5.2766367357133e-07,0.000100735279298123,1.53175708084865e-10
9.17807106306874e-07,0.000174257750369948,2.66430417988141e-10
1.30795053904242e-06,0.000247780177163404,3.79684974649058e-10
4.64378701113064e-06,0.00087641593516623,1.34803736923239e-09
7.97962348321886e-06,0.00150504848150821,2.31637864976604e-09
1.13154599553071e-05,0.002133677789989,3.2847087260479e-09
1.46512964273953e-05,0.00276230385137915,4.25302756647975e-09
4.80096611482775e-05,0.00904838577503889,1.39355975838192e-08
8.13680258691597e-05,0.0153341428595425,2.3617043385431e-08
0.000114726390590042,0.0216195751055967,3.32973648656185e-08
0.000148084755310924,0.0279046825269549,4.2976561953625e-08
0.000481668402519746,0.0907378961968595,1.39706667765538e-07
0.000815252049728568,0.153538640280833,2.36324259876101e-07
0.00114883569693739,0.216306928358201,3.32829275962736e-07
0.00148241934414621,0.27904278391438,4.29221650915998e-07
0.00248530575234668,0.467456758650938,7.18336567565386e-07
0.00348819216054715,0.655577983722777,1.00643100636838e-06
0.00449107856874763,0.843406851276171,1.29350328381557e-06
0.0054939649769481,1.03094382320496,1.57955168182339e-06
0.00744721294814081,1.3953598918083,2.13372197141469e-06
0.00940046091933353,1.7586743698313,2.68398986403166e-06
0.0113537088905262,2.12089059782556,3.23034313666172e-06
0.013306956861719,2.4820114729163,3.77276994069908e-06
0.0152602048329117,2.84203952756692,4.31125879469432e-06
0.0193321988691124,3.58909669230037,5.42115171609772e-06
0.0234041929053131,4.3314334370453,6.5137847154854e-06
0.0274761869415138,5.06908832741084,7.58906662760051e-06
0.0315481809777146,5.80209556722183,8.64691219020611e-06
0.0356201750139153,6.53047912933345,9.68724230068297e-06
0.039692169050116,7.25426086475343,1.07099842005487e-05
0.0448198001269429,8.15917184491829,1.19727445807222e-05
0.0499474312037698,9.05687972333241,1.32073932192805e-05
0.0550750622805967,9.94743831774092,1.44138292943422e-05
0.0602026933574236,10.8308998712671,1.55919690822423e-05
0.0653303244342505,11.707315550104,1.67417461941086e-05
0.0704579555110774,12.576736314272,1.78631117521615e-05
0.079331780395577,14.0649681696666,1.97365231712822e-05
0.0882056052800766,15.5326642370558,2.15247227165541e-05
0.0970794301645762,16.9800834627504,2.32278338521957e-05
0.105953255049076,18.4074804513478,2.48461390555285e-05
0.114827079933575,19.8151060868781,2.63800780834417e-05
0.123700904818075,21.2032085146779,2.7830245312745e-05
0.132574729702575,22.5720332680802,2.91973861794058e-05
0.147029597322811,24.7611068682677,3.12489604214036e-05
0.161484464943047,26.9007012685246,3.30872962860203e-05
0.175939332563283,28.9918257274212,3.47179660655503e-05
0.190394200183519,31.0354689755032,3.61473843980392e-05
